Scene,Day in movie,Extras,INT/EXT,Pages count,Parent item,Scene Description,Scene cast,Setups,Shooting date,Shooting hours,Shooting location,Status,Sub-item,Tags,Time of the day
014,8,,EXT,2/8,,Alejandro infiltrates compound,Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv),6,"November 1, 2025",19:00 - 02:00,,Not started,,"Action, Night exterior, Stunts",Night
004c,2,Extra Group D (Cartel Members) (Extra%20Group%20D%20(Cartel%20Members)%2028ea372328a48166bbb2e4561c072e6e.csv),EXT,1/8,004 (004%2028ea372328a481a58116cb037a02a4ea.csv),Kate spots cartel members,Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv),3,"October 19, 2025",08:00 - 11:00,,Not started,,"Action, Crowd",Day
004a,2,Extra Group E (Civilians - Border) (Extra%20Group%20E%20(Civilians%20-%20Border)%2028ea372328a48111b537fb394eda61e8.csv),EXT,1/8,004 (004%2028ea372328a481a58116cb037a02a4ea.csv),Wide establishing shots of border,,3,"October 18, 2025",14:00 - 17:00,,Not started,,"Crowd, Drone shot",Day
006,3,,INT,2/8,,"Kate at home, processing events","Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Ted (Ted%2028ea372328a4817da8d0e8a0cb9f7acd.csv)",5,"October 21, 2025",18:00 - 23:00,"Kate's Apartment (Kate's%20Apartment%2028ea372328a48170a3b3f68902cc4480.csv), Bar/Restaurant (Ted scene) (Bar%20Restaurant%20(Ted%20scene)%2028ea372328a48161b123eaa51dd2b8f8.csv)",Not started,"006a (006a%2028ea372328a481e39717c097acc14665.csv), 006b (006b%2028ea372328a4814b84d0c587541518a7.csv)","Dialogue-heavy, Intimate scene",Night
003b,2,,INT,1/8,003 (003%2028ea372328a481ec9decf6f93e808711.csv),Interior car - Kate observing,"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv)",3,"October 18, 2025",08:00 - 11:00,Highway to El Paso (Highway%20to%20El%20Paso%2028ea372328a481f4aadddb027240573c.csv),Not started,,"Dialogue-heavy, Intimate scene",Dawn or Dusk
007,4,,INT,3/8,,Planning next operation,"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv), Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv), Steve Forsing (Steve%20Forsing%2028ea372328a481f68961e0189e3c5255.csv)",5,"October 22, 2025",08:00 - 14:00,,Not started,,Dialogue-heavy,Day
001d,1,,INT,1/8,001 (001%2028ea372328a481a9b3c7e3f991007dd1.csv),"Kate's reaction, aftermath","Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Reggie Wayne (Reggie%20Wayne%2028ea372328a481379820dc5232ffc8f6.csv)",3,"October 15, 2025",15:00 - 18:00,Chandler House (Arizona) (Chandler%20House%20(Arizona)%2028ea372328a4819b8567c5b408afa0b4.csv),Not started,,"Dialogue-heavy, Intimate scene",Dawn or Dusk
001b,1,Extra Group A (FBI SWAT Team) (Extra%20Group%20A%20(FBI%20SWAT%20Team)%2028ea372328a48181954ac1d2d7e7e2fb.csv),INT,1/8,001 (001%2028ea372328a481a9b3c7e3f991007dd1.csv),"Breach and entry, tactical movement","Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Reggie Wayne (Reggie%20Wayne%2028ea372328a481379820dc5232ffc8f6.csv)",4,"October 15, 2025",09:00 - 12:00,Chandler House (Arizona) (Chandler%20House%20(Arizona)%2028ea372328a4819b8567c5b408afa0b4.csv),Blocked,,"Action, Dialogue-heavy, Stunts",Dawn or Dusk
001c,1,Extra Group A (FBI SWAT Team) (Extra%20Group%20A%20(FBI%20SWAT%20Team)%2028ea372328a48181954ac1d2d7e7e2fb.csv),INT,1/8,001 (001%2028ea372328a481a9b3c7e3f991007dd1.csv),Discovery of bodies in walls,"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Reggie Wayne (Reggie%20Wayne%2028ea372328a481379820dc5232ffc8f6.csv)",5,"October 15, 2025",12:00 - 15:00,Chandler House (Arizona) (Chandler%20House%20(Arizona)%2028ea372328a4819b8567c5b408afa0b4.csv),Not started,,"Dialogue-heavy, Stunts, VFX",Dawn or Dusk
002,1,,INT,2/8,,Kate meets Matt and Alejandro,"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv), Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv), Dave Jennings (Dave%20Jennings%2028ea372328a48107b023e073ffdafe41.csv)",5,"October 17, 2025",08:00 - 14:00,FBI Field Office Phoenix (FBI%20Field%20Office%20Phoenix%2028ea372328a481b39080e0d71d21029c.csv),Completed,,Dialogue-heavy,Day
003c,2,Extra Group B (Border Patrol) (Extra%20Group%20B%20(Border%20Patrol)%2028ea372328a4811f9ebcec17829f9bd1.csv),EXT,1/8,003 (003%2028ea372328a481ec9decf6f93e808711.csv),Exterior tracking shots of vehicles,"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv), Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv)",3,"October 18, 2025",11:00 - 14:00,Highway to El Paso (Highway%20to%20El%20Paso%2028ea372328a481f4aadddb027240573c.csv),Not started,,Action,Dawn or Dusk
004b,2,Extra Group E (Civilians - Border) (Extra%20Group%20E%20(Civilians%20-%20Border)%2028ea372328a48111b537fb394eda61e8.csv),INT / EXT,2/8,004 (004%2028ea372328a481a58116cb037a02a4ea.csv),"Cars waiting in gridlock, tension builds","Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv), Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv), Steve Forsing (Steve%20Forsing%2028ea372328a481f68961e0189e3c5255.csv)",4,"October 18, 2025",17:00 - 20:00,,Not started,,"Action, Crowd",Day
004d,2,"Extra Group D (Cartel Members) (Extra%20Group%20D%20(Cartel%20Members)%2028ea372328a48166bbb2e4561c072e6e.csv), Extra Group E (Civilians - Border) (Extra%20Group%20E%20(Civilians%20-%20Border)%2028ea372328a48111b537fb394eda61e8.csv)",EXT,2/8,004 (004%2028ea372328a481a58116cb037a02a4ea.csv),Shootout erupts,"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv), Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv), Steve Forsing (Steve%20Forsing%2028ea372328a481f68961e0189e3c5255.csv)",6,"October 19, 2025",11:00 - 17:00,,Not started,,"Action, Crowd, SFX, Stunts, VFX",Day
