Scene,Scene Description,INT/EXT,Time of the day,Shooting location,Scene cast,Extras,Tags,Setups,Pages count,Status,Day in movie,Shooting date,Shooting hours
006a,"Kate arrives home, exhausted",INT,Night,Kate's Apartment (Kate's%20Apartment%2028ea372328a48170a3b3f68902cc4480.csv),Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv),,Intimate scene,2,1/8,Not started,3,"October 21, 2025",18:00 - 20:00
004e,Escape through checkpoint,INT / EXT,Day,,"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv), Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv)",,"Action, Stunts",2,1/8,Not started,2,"October 19, 2025",17:00 - 19:00
004d,Shootout erupts,EXT,Day,,"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv), Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv), Steve Forsing (Steve%20Forsing%2028ea372328a481f68961e0189e3c5255.csv)","Extra Group D (Cartel Members) (Extra%20Group%20D%20(Cartel%20Members)%2028ea372328a48166bbb2e4561c072e6e.csv), Extra Group E (Civilians - Border) (Extra%20Group%20E%20(Civilians%20-%20Border)%2028ea372328a48111b537fb394eda61e8.csv)","Action, Crowd, SFX, Stunts, VFX",6,2/8,Not started,2,"October 19, 2025",11:00 - 17:00
004c,Kate spots cartel members,EXT,Day,,Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv),Extra Group D (Cartel Members) (Extra%20Group%20D%20(Cartel%20Members)%2028ea372328a48166bbb2e4561c072e6e.csv),"Action, Crowd",3,1/8,Not started,2,"October 19, 2025",08:00 - 11:00
004b,"Cars waiting in gridlock, tension builds",INT / EXT,Day,,"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv), Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv), Steve Forsing (Steve%20Forsing%2028ea372328a481f68961e0189e3c5255.csv)",Extra Group E (Civilians - Border) (Extra%20Group%20E%20(Civilians%20-%20Border)%2028ea372328a48111b537fb394eda61e8.csv),"Action, Crowd",4,2/8,Not started,2,"October 18, 2025",17:00 - 20:00
004a,Wide establishing shots of border,EXT,Day,,,Extra Group E (Civilians - Border) (Extra%20Group%20E%20(Civilians%20-%20Border)%2028ea372328a48111b537fb394eda61e8.csv),"Crowd, Drone shot",3,1/8,Not started,2,"October 18, 2025",14:00 - 17:00
003c,Exterior tracking shots of vehicles,EXT,Dawn or Dusk,Highway to El Paso (Highway%20to%20El%20Paso%2028ea372328a481f4aadddb027240573c.csv),"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv), Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv)",Extra Group B (Border Patrol) (Extra%20Group%20B%20(Border%20Patrol)%2028ea372328a4811f9ebcec17829f9bd1.csv),Action,3,1/8,Not started,2,"October 18, 2025",11:00 - 14:00
003b,Interior car - Kate observing,INT,Dawn or Dusk,Highway to El Paso (Highway%20to%20El%20Paso%2028ea372328a481f4aadddb027240573c.csv),"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv)",,"Dialogue-heavy, Intimate scene",3,1/8,Not started,2,"October 18, 2025",08:00 - 11:00
003a,Aerial shots of convoy,EXT,Dawn or Dusk,Highway to El Paso (Highway%20to%20El%20Paso%2028ea372328a481f4aadddb027240573c.csv),,,Drone shot,2,0/8,Not started,2,"October 18, 2025",06:00 - 08:00
001d,"Kate's reaction, aftermath",INT,Dawn or Dusk,Chandler House (Arizona) (Chandler%20House%20(Arizona)%2028ea372328a4819b8567c5b408afa0b4.csv),"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Reggie Wayne (Reggie%20Wayne%2028ea372328a481379820dc5232ffc8f6.csv)",,"Dialogue-heavy, Intimate scene",3,1/8,Not started,1,"October 15, 2025",15:00 - 18:00
001c,Discovery of bodies in walls,INT,Dawn or Dusk,Chandler House (Arizona) (Chandler%20House%20(Arizona)%2028ea372328a4819b8567c5b408afa0b4.csv),"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Reggie Wayne (Reggie%20Wayne%2028ea372328a481379820dc5232ffc8f6.csv)",Extra Group A (FBI SWAT Team) (Extra%20Group%20A%20(FBI%20SWAT%20Team)%2028ea372328a48181954ac1d2d7e7e2fb.csv),"Dialogue-heavy, Stunts, VFX",5,1/8,Not started,1,"October 15, 2025",12:00 - 15:00
001b,"Breach and entry, tactical movement",INT,Dawn or Dusk,Chandler House (Arizona) (Chandler%20House%20(Arizona)%2028ea372328a4819b8567c5b408afa0b4.csv),"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Reggie Wayne (Reggie%20Wayne%2028ea372328a481379820dc5232ffc8f6.csv)",Extra Group A (FBI SWAT Team) (Extra%20Group%20A%20(FBI%20SWAT%20Team)%2028ea372328a48181954ac1d2d7e7e2fb.csv),"Action, Dialogue-heavy, Stunts",4,1/8,Blocked,1,"October 15, 2025",09:00 - 12:00
001a,Exterior - SWAT team approaches house,EXT,Dawn or Dusk,Chandler House (Arizona) (Chandler%20House%20(Arizona)%2028ea372328a4819b8567c5b408afa0b4.csv),"Reggie Wayne (Reggie%20Wayne%2028ea372328a481379820dc5232ffc8f6.csv), Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv)",Extra Group A (FBI SWAT Team) (Extra%20Group%20A%20(FBI%20SWAT%20Team)%2028ea372328a48181954ac1d2d7e7e2fb.csv),"Action, Stunts",3,1/8,In progress,1,"October 15, 2025",06:00 - 09:00
